angelina-std-02
Date:,2012/07/12
Time:,14:34:29
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,110.918152,-153.015930,565.481567,208.156494,-116.234978,536.036682,174.695465,-141.441513,600.238098,-3.247094,-73.721802,539.439758,30.984188,-124.825729,605.842346,103.126022,-163.454102,672.283020,191.630768,-141.757431,270.425903,2.248067,-110.098984,271.454193,100.204308,-178.198074,740.580750,220.120865,-113.418175,822.116577,94.977638,-155.977814,848.365967,91.533958,-167.169327,903.575012,181.128799,-129.662384,931.991821,199.979614,-114.801399,44.753151,25.860739,-92.717072,944.738159,3.393479,-95.644615,39.125721,162.219818,-138.173431,13.962729,35.318241,-129.957138,14.982154,239.587692,-44.678394,17.254129,-21.268637,-91.773872,808.555786,-14.198506,-18.695623,16.233007
22,111.196220,-152.857986,565.487183,208.372849,-116.088715,535.943787,174.902634,-141.199310,600.203552,-3.143307,-73.630402,539.479919,31.574228,-125.107918,605.913147,103.402298,-163.234879,672.227783,191.701385,-142.084351,270.393707,2.362599,-110.031586,271.442749,100.498566,-178.022354,740.477234,220.188736,-113.339836,822.291443,95.031288,-155.895096,848.285156,91.450516,-167.072495,903.468506,181.064194,-129.672104,932.024048,200.013107,-114.842522,44.745953,25.813831,-92.600044,944.603394,3.417043,-95.596924,39.138321,162.231094,-138.180908,13.960793,35.305428,-129.937851,14.987123,239.597092,-44.658421,17.240379,-21.195019,-91.687614,808.270386,-14.392518,-18.658964,16.200310
23,111.448593,-152.680054,565.503357,208.597702,-115.962036,535.868469,175.079041,-140.950256,600.191284,-2.996981,-73.552368,539.519409,32.183208,-125.365608,605.971619,103.689201,-163.010971,672.172729,191.707535,-142.317596,270.346771,2.501299,-109.964569,271.446045,100.766403,-177.819138,740.384949,220.246597,-113.253357,822.460693,95.055809,-155.780685,848.196411,91.405968,-167.021011,903.333923,181.021484,-129.688492,932.039429,200.028702,-114.882721,44.736225,25.727242,-92.456924,944.492004,3.476907,-95.575455,39.146751,162.228455,-138.186295,13.962115,35.258026,-129.883118,14.988215,239.628357,-44.653152,17.234163,-21.141556,-91.604324,807.993042,-14.572852,-18.603769,16.131788
24,111.666779,-152.486435,565.542175,208.849289,-115.827682,535.814453,175.294632,-140.711014,600.170776,-2.842075,-73.390862,539.539917,32.383018,-125.162025,606.004211,103.983002,-162.777954,672.122192,191.610580,-142.398544,270.259460,2.635806,-109.833328,271.425323,101.026398,-177.610229,740.317261,220.308044,-113.175156,822.625061,95.083633,-155.670654,848.102051,91.337341,-166.942749,903.168945,180.944321,-129.730698,932.059875,200.021027,-114.884995,44.705433,25.610832,-92.283882,944.378845,3.506167,-95.581581,39.145222,162.228302,-138.182739,13.968472,35.228153,-129.849426,14.981442,239.678757,-44.668465,17.228868,-21.110857,-91.558403,807.759644,-14.641472,-18.586613,16.076777
25,111.904274,-152.300232,565.575256,209.093262,-115.677567,535.744690,175.532349,-140.495316,600.169678,-2.688354,-73.157333,539.523132,32.471748,-124.821953,606.025330,104.260483,-162.498337,672.092285,191.630234,-142.524277,270.214935,2.731782,-109.668419,271.422607,101.245468,-177.379349,740.256470,220.379181,-113.073242,822.773071,95.127426,-155.587219,848.023499,91.198845,-166.810333,902.975159,180.837250,-129.801590,932.086487,200.004791,-114.870110,44.684326,25.496992,-92.134453,944.257019,3.524052,-95.590477,39.133511,162.234634,-138.150269,13.975835,35.216934,-129.842087,14.981133,239.701324,-44.681175,17.215866,-21.079172,-91.454826,807.567261,-14.692459,-18.592710,16.068802
26,112.161041,-152.146973,565.606079,209.312653,-115.542236,535.685791,175.758209,-140.303833,600.201050,-2.454304,-72.961067,539.500183,32.259586,-124.040161,606.002563,104.498184,-162.209747,672.091003,191.791946,-142.736404,270.231537,2.868247,-109.578362,271.464844,101.425941,-177.141418,740.208130,220.437378,-112.934227,822.885376,95.178970,-155.508163,847.967041,91.022125,-166.682007,902.788635,180.744766,-129.871368,932.098145,199.988281,-114.862320,44.680149,25.377504,-91.995720,944.158752,3.531727,-95.590515,39.137272,162.237915,-138.123245,13.995354,35.223347,-129.834274,14.992327,239.692429,-44.666042,17.190258,-21.012426,-91.259895,807.386536,-14.751995,-18.615124,16.082079
27,112.348679,-151.979294,565.676819,209.502686,-115.417450,535.667175,175.987350,-140.123611,600.230591,-2.172879,-72.773628,539.490479,32.300888,-123.502975,606.009644,104.716103,-161.960175,672.092834,191.907104,-142.849579,270.228058,3.090384,-109.523384,271.536774,101.570633,-176.958664,740.182312,220.530060,-112.833038,823.000366,95.180954,-155.385025,847.911743,90.862762,-166.608322,902.598755,180.675949,-129.944489,932.112000,199.992813,-114.841873,44.674103,25.318142,-91.910995,944.077271,3.527817,-95.588127,39.172112,162.219818,-138.126312,14.024141,35.252594,-129.827515,15.019447,239.703827,-44.635231,17.156906,-20.949532,-91.020714,807.222412,-14.774992,-18.627625,16.083178
28,112.472382,-151.791153,565.770203,209.680405,-115.309448,535.676697,176.271042,-139.976852,600.261963,-1.885942,-72.551697,539.478516,33.051048,-123.800140,606.087341,104.915443,-161.722733,672.080933,191.961441,-142.890610,270.216431,3.308507,-109.371826,271.599640,101.667145,-176.774414,740.158813,220.661987,-112.773651,823.138611,95.159256,-155.217026,847.845215,90.710953,-166.542282,902.386169,180.603836,-130.027832,932.126953,200.020676,-114.821495,44.653076,25.310999,-91.901085,944.009705,3.535806,-95.573914,39.214447,162.203857,-138.118576,14.024478,35.305336,-129.844803,15.045857,239.749802,-44.631748,17.108624,-20.891886,-90.735466,807.063171,-14.779872,-18.594675,16.054976
29,112.604721,-151.628372,565.834412,209.875717,-115.211716,535.698792,176.552338,-139.823196,600.294434,-1.585222,-72.308289,539.461426,33.686085,-123.966873,606.138916,105.082001,-161.470413,672.060608,192.016998,-142.964615,270.229797,3.490681,-109.137627,271.608337,101.725052,-176.542343,740.125671,220.701599,-112.640503,823.259094,95.123375,-155.005539,847.766907,90.581543,-166.472275,902.187439,180.494751,-130.124573,932.126831,200.025192,-114.834961,44.622971,25.247744,-91.873222,943.972961,3.569612,-95.549934,39.236065,162.217682,-138.109421,14.020875,35.365990,-129.889313,15.052964,239.781418,-44.634369,17.048311,-20.829372,-90.417641,806.926270,-14.756053,-18.536812,16.006401
30,112.771057,-151.476715,565.869690,210.086823,-115.084023,535.718262,176.741653,-139.599716,600.316895,-1.295923,-72.027733,539.450073,33.822113,-123.591690,606.180725,105.233894,-161.221497,672.051697,192.076096,-143.040344,270.244385,3.672327,-108.911507,271.591522,101.772926,-176.314789,740.091370,220.652512,-112.434273,823.368591,95.042862,-154.785950,847.682922,90.420174,-166.383743,901.989502,180.359848,-130.253372,932.119080,200.037155,-114.925858,44.584332,25.156698,-91.804222,943.953125,3.594214,-95.531380,39.248627,162.226364,-138.121872,14.042862,35.387249,-129.906052,15.060730,239.817139,-44.624752,17.005924,-20.794897,-90.103096,806.826416,-14.733102,-18.510357,15.979516
