bleuenn-std-01
Date:,2012/11/24
Time:,11:01:05
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:RTRO,,,Patient1:RANK,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,-2.053883,55.680946,604.347107,51.666916,81.396706,634.931641,-47.355255,74.008354,647.431396,-118.293968,115.736198,584.554382,13.290722,45.457916,748.288208,105.964081,90.212135,307.699402,-127.339462,79.426567,314.785461,-112.560196,75.294273,912.644043,15.979398,50.850964,933.822266,18.459774,61.034935,983.066284,-72.793800,110.845795,1013.322815,-146.568771,63.576633,39.840298,68.914635,45.147533,21.027620,-101.470322,54.098297,13.688957,-200.601044,134.383698,13.353640,87.231720,125.312500,1018.439453,16.430618,29.825222,801.376221,138.767899,100.316193,906.710144,,,,,,,,,
22,-2.197793,55.798431,604.381287,51.578320,81.381241,634.938416,-47.508774,74.308548,647.430725,-118.328438,116.096535,584.552551,13.115267,45.609356,748.305420,105.924263,90.064056,307.695251,-127.368759,79.610893,314.811371,-112.429535,75.593376,912.802673,15.908959,51.037655,933.846008,18.420429,61.151627,983.069580,-72.801704,111.055161,1013.344971,-146.579132,63.602116,39.858280,68.909935,45.150833,21.022448,-101.477745,54.086933,13.723980,-200.598129,134.401810,13.382583,87.241058,125.373863,1018.448181,16.242031,29.949432,801.389587,138.806366,100.151253,906.574646,,,,,,,,,
23,-2.333651,55.908237,604.421265,51.500145,81.352676,634.938965,-47.642742,74.576775,647.437683,-118.337677,116.462784,584.548889,12.900080,45.795540,748.326660,105.854836,89.905289,307.704529,-127.409798,79.828094,314.829926,-112.311539,75.955055,912.979614,15.861071,51.200478,933.871155,18.332033,61.278736,983.078918,-72.797836,111.314880,1013.344910,-146.600357,63.613762,39.875957,68.906219,45.164841,21.028305,-101.506035,54.101124,13.726271,-200.601242,134.427246,13.390798,87.261070,125.346268,1018.488037,16.018753,30.115234,801.396545,138.847946,99.984261,906.420654,,,,,,,,,
24,-2.473465,55.993202,604.475952,51.431259,81.311470,634.941956,-47.819935,74.925858,647.444031,-118.343513,116.834488,584.544556,12.702556,45.942577,748.345703,105.793350,89.718559,307.692383,-127.458595,80.068039,314.853577,-112.213455,76.412537,913.160828,15.811906,51.351723,933.871826,18.215851,61.410469,983.079590,-72.796478,111.589119,1013.320313,-146.620041,63.606438,39.902473,68.893997,45.191071,21.044043,-101.528328,54.129509,13.709393,-200.605759,134.431732,13.391278,87.273079,125.277740,1018.548706,15.796584,30.250574,801.407959,138.881088,99.809563,906.232971,,,,,,,,,
25,-2.607601,56.108170,604.508972,51.344765,81.257515,634.946045,-47.981716,75.278275,647.453064,-118.322258,117.197273,584.537354,12.507746,46.022526,748.358521,105.744301,89.528297,307.664825,-127.483818,80.257149,314.889160,-112.112564,76.954445,913.345398,15.738617,51.512081,933.869446,18.061945,61.509712,983.065063,-72.825752,111.916145,1013.275085,-146.628922,63.600372,39.923401,68.869614,45.220211,21.038933,-101.513420,54.092251,13.716928,-200.606201,134.432236,13.393850,87.238991,125.242012,1018.610718,15.522487,30.393436,801.431885,138.891281,99.595589,906.049194,,,,,,,,,
26,-2.708801,56.230583,604.516479,51.235203,81.237419,634.944458,-48.017307,75.406326,647.492065,-118.270790,117.581360,584.515198,12.314626,46.094040,748.378357,105.685112,89.329933,307.648804,-127.490829,80.458679,314.919922,-112.011292,77.549316,913.529358,15.654197,51.636852,933.862732,17.879522,61.594887,983.044495,-72.873711,112.312378,1013.224915,-146.635117,63.603214,39.928520,68.855217,45.246391,21.040964,-101.484543,54.059246,13.716089,-200.607468,134.456390,13.396421,87.240814,125.105186,1018.677612,15.189216,30.570055,801.442261,138.899521,99.272858,905.895203,,,,,,,,,
27,-2.814407,56.325054,604.521912,51.144760,81.244583,634.939941,-48.137074,75.679398,647.494995,-118.229454,117.964531,584.480408,12.141608,46.212822,748.380859,105.647255,89.074127,307.647125,-127.487343,80.680603,314.949768,-111.972969,78.179817,913.663391,15.537473,51.710197,933.850220,17.678635,61.710926,983.030334,-72.902290,112.728699,1013.162170,-146.633194,63.615963,39.941849,68.856796,45.255138,21.072062,-101.490799,54.067734,13.707068,-200.607910,134.474869,13.398958,87.298180,124.860184,1018.758667,14.889774,30.703875,801.433228,138.907578,98.779572,905.760864,,,,,,,,,
28,-2.934143,56.434048,604.531067,51.091167,81.196678,634.944397,-48.347237,76.157883,647.420654,-118.210602,118.347496,584.446899,11.940626,46.349640,748.362549,105.639969,88.754433,307.652283,-127.478256,80.895477,314.967438,-112.002769,78.844307,913.730713,15.363994,51.776375,933.822449,17.471861,61.819992,983.035034,-72.916107,113.145615,1013.074829,-146.626343,63.639725,39.965805,68.854462,45.255348,21.084190,-101.497711,54.050873,13.727113,-200.611557,134.445267,13.417983,87.350685,124.609138,1018.846252,14.581739,30.834082,801.427612,138.874741,98.203033,905.691956,,,,,,,,,
29,-3.042666,56.559628,604.558899,51.047287,81.136574,634.949768,-48.438030,76.427101,647.361084,-118.171562,118.749458,584.430481,11.684745,46.466560,748.343018,105.620819,88.457603,307.651306,-127.472939,81.131378,314.990326,-112.074760,79.540337,913.765076,15.118222,51.881786,933.789307,17.265318,61.904358,983.052979,-72.917198,113.590164,1012.982788,-146.624344,63.661823,39.969631,68.857903,45.247021,21.072868,-101.456932,54.020695,13.743146,-200.606995,134.426285,13.438818,87.377777,124.400337,1018.911072,14.230758,30.966127,801.417542,138.797394,97.568069,905.691467,98.898544,140.337418,564.827881,,,,,,
30,-3.146335,56.682076,604.585266,50.912937,81.302620,634.925415,-48.469486,76.563782,647.398010,-118.116325,119.148849,584.421936,11.409420,46.568653,748.309143,105.589966,88.212502,307.637390,-127.466415,81.384483,315.021484,-112.208260,80.225555,913.761780,14.804982,51.970001,933.773926,17.045261,61.991489,983.065430,-72.893654,114.065964,1012.906982,-146.602859,63.683186,39.962772,68.877205,45.221771,21.076534,-101.441978,54.024818,13.744514,-200.572311,134.454208,13.458169,87.441261,124.150925,1018.949829,13.889043,31.043064,801.398132,138.698334,96.817131,905.739075,98.968826,140.226974,564.835266,,,,,,
