angelina-std-01
Date:,2012/07/12
Time:,14:24:07
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,131.538132,-137.421783,568.496582,227.462387,-96.838837,541.747131,193.393829,-121.895370,607.476807,15.729437,-63.661255,537.372559,49.717426,-110.820290,607.921875,122.274406,-143.230255,678.149780,121.961586,-156.219299,746.400696,208.667404,-97.216049,271.921600,17.000177,-94.690956,272.837189,-1.875116,-76.087273,815.439514,241.215805,-83.723068,824.272278,120.716698,-133.046494,853.288391,126.640961,-145.866257,906.264465,203.589874,-88.202927,937.847046,44.598335,-89.562035,946.008362,200.037338,-111.669815,45.599712,5.295189,-95.121422,40.653130,161.742004,-137.358017,15.160045,36.776276,-128.801941,16.023418,239.776825,-44.201237,17.112619,-16.082134,-18.597010,14.792212
22,131.597244,-137.508682,568.468018,227.507019,-96.924500,541.727295,193.460403,-122.020508,607.468201,15.833181,-63.770393,537.389465,49.670361,-110.830376,607.888977,122.323524,-143.359024,678.107788,121.985680,-156.344238,746.375000,208.711304,-97.289001,271.924316,17.029778,-94.679062,272.829773,-1.838460,-76.252304,815.438416,241.262085,-83.925064,824.217712,120.798958,-133.232391,853.299744,126.676537,-146.074127,906.283203,203.629257,-88.426712,937.852844,44.649666,-89.734261,945.960571,200.044113,-111.675095,45.597347,5.286174,-95.098213,40.668854,161.757141,-137.387024,15.113579,36.788422,-128.802155,16.022469,239.756973,-44.184544,17.093552,-16.084764,-18.596298,14.777678
23,131.650421,-137.567123,568.451538,227.543701,-97.003494,541.722595,193.465942,-122.090919,607.436401,15.913430,-63.846191,537.384888,49.746418,-110.982208,607.858215,122.383896,-143.507904,678.071167,121.997597,-156.447754,746.354187,208.733200,-97.320786,271.919983,17.068338,-94.703171,272.811340,-1.800616,-76.419350,815.422546,241.279968,-84.126106,824.189514,120.870270,-133.370361,853.286987,126.641891,-146.241196,906.295898,203.658264,-88.642395,937.865784,44.713303,-89.969902,945.919739,200.075424,-111.666618,45.590015,5.293592,-95.101120,40.664635,161.765411,-137.417572,15.134820,36.794132,-128.785690,16.013187,239.786377,-44.179153,17.105091,-16.021215,-18.574064,14.769605
24,131.674896,-137.631058,568.425232,227.588531,-97.092117,541.723694,193.392380,-122.093582,607.392456,15.958687,-63.892956,537.367249,49.841217,-111.136040,607.832703,122.429031,-143.649399,678.057495,122.044365,-156.573364,746.328125,208.788223,-97.327133,271.897491,17.090425,-94.711098,272.810394,-1.765350,-76.563171,815.410583,241.277603,-84.280617,824.163757,120.889870,-133.487823,853.252869,126.666351,-146.441299,906.323853,203.676895,-88.849480,937.890198,44.774017,-90.177414,945.905090,200.115555,-111.654320,45.561970,5.293468,-95.102547,40.660641,161.770691,-137.432968,15.146645,36.779236,-128.752701,16.008165,239.809708,-44.185421,17.130163,-15.991242,-18.562469,14.780853
25,131.680588,-137.704254,568.380310,227.644684,-97.177078,541.714294,193.354248,-122.104408,607.362488,15.994369,-63.958858,537.348206,49.973797,-111.295937,607.820557,122.442307,-143.743011,678.027161,122.138527,-156.748444,746.303467,208.837830,-97.354118,271.893585,17.152922,-94.744125,272.808594,-1.734249,-76.740936,815.393494,241.273788,-84.389992,824.120850,120.865128,-133.617432,853.218811,126.747574,-146.658310,906.361206,203.706329,-89.063614,937.915833,44.809834,-90.314110,945.910522,200.131241,-111.658417,45.531986,5.293468,-95.102547,40.660641,161.761505,-137.412415,15.160828,36.736553,-128.720413,16.023222,239.783234,-44.179661,17.132624,-15.996990,-18.560923,14.774340
26,131.699753,-137.782410,568.358337,227.693817,-97.218063,541.704590,193.373535,-122.173431,607.350647,16.072010,-64.049728,537.350220,50.093529,-111.460167,607.822021,122.447136,-143.841232,677.983643,122.194244,-156.914963,746.278320,208.856247,-97.402542,271.907562,17.220789,-94.769241,272.832275,-1.717860,-76.949409,815.374329,241.229935,-84.456131,824.068970,120.867477,-133.791077,853.192017,126.773277,-146.833923,906.361938,203.747513,-89.286415,937.934509,44.806828,-90.424774,945.891479,200.135971,-111.652641,45.522919,5.293592,-95.101120,40.664635,161.757813,-137.400879,15.177501,36.708473,-128.741058,16.036169,239.732849,-44.166897,17.118010,-15.996990,-18.560923,14.774340
27,131.724625,-137.856995,568.354004,227.747391,-97.263199,541.706909,193.388519,-122.268463,607.342957,16.171209,-64.170937,537.384644,50.048878,-111.461197,607.801025,122.464546,-143.963989,677.955261,122.251846,-157.077621,746.255920,208.863556,-97.441803,271.911072,17.226898,-94.769295,272.844391,-1.705826,-77.143242,815.367981,241.292770,-84.659920,824.047668,120.940376,-134.010406,853.176147,126.732018,-146.996567,906.348206,203.768555,-89.509682,937.931580,44.793156,-90.509033,945.863586,200.142059,-111.642830,45.525208,5.310523,-95.121513,40.660664,161.794159,-137.455109,15.149623,36.730965,-128.782532,16.029301,239.704926,-44.167042,17.122852,-15.991728,-18.562347,14.803406
28,131.747330,-137.921341,568.346558,227.802353,-97.333115,541.718872,193.432022,-122.387215,607.327515,16.226252,-64.264076,537.415466,50.113811,-111.560654,607.757385,122.476448,-144.049774,677.923767,122.350845,-157.264954,746.252747,208.872452,-97.479935,271.901520,17.238493,-94.804512,272.809143,-1.676514,-77.329597,815.359741,241.496109,-85.018936,824.069519,121.059814,-134.244568,853.171326,126.678360,-147.164612,906.351685,203.782623,-89.691299,937.912048,44.780735,-90.563927,945.863403,200.135971,-111.652641,45.522919,5.329080,-95.157639,40.656155,161.823715,-137.498062,15.124290,36.766594,-128.790344,16.020964,239.703506,-44.170414,17.145163,-15.989097,-18.563059,14.817939
29,131.746292,-137.974548,568.337646,227.851730,-97.394897,541.724243,193.498062,-122.519852,607.318420,16.247797,-64.310326,537.435791,50.248604,-111.731773,607.768982,122.478432,-144.126663,677.883240,122.414116,-157.429688,746.237976,208.882996,-97.536530,271.899475,17.262480,-94.803680,272.797333,-1.645763,-77.506706,815.345825,241.634079,-85.275749,824.087891,121.206680,-134.495728,853.163330,126.598320,-147.291595,906.354309,203.820877,-89.864372,937.897644,44.783386,-90.671875,945.898132,200.129868,-111.662445,45.520626,5.332585,-95.186234,40.663063,161.795166,-137.472626,15.154122,36.778595,-128.787415,16.019873,239.708908,-44.157562,17.153328,-15.991728,-18.562347,14.803406
30,131.725601,-138.002853,568.322632,227.878372,-97.467552,541.720337,193.541077,-122.627991,607.301270,16.237768,-64.324867,537.442993,50.235409,-111.767876,607.789856,122.499046,-144.227188,677.835754,122.439453,-157.577316,746.197021,208.873505,-97.547539,271.893646,17.280067,-94.746986,272.818298,-1.625248,-77.670181,815.317200,241.652817,-85.384857,824.055481,121.311012,-134.714050,853.139709,126.561584,-147.430222,906.348022,203.868774,-90.067322,937.908020,44.821476,-90.896812,945.937378,200.129868,-111.662445,45.520626,5.354471,-95.215408,40.651943,161.761078,-137.446930,15.175798,36.785801,-128.788834,16.020142,239.711655,-44.151035,17.141178,-16.011044,-18.589739,14.799706
