arthur-std-03
Date:,2012/07/09
Time:,14:34:12
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LTRO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,-32.232211,265.196704,579.187637,25.268395,361.206816,519.846600,18.723654,350.426020,572.234857,-123.456944,246.746506,591.914746,-13.915330,265.133769,679.131093,57.420920,346.345730,279.413764,-147.859387,196.533079,284.288667,-11.349343,264.137227,753.820438,-145.112989,235.911131,809.740027,24.853079,391.757368,820.996198,-33.353119,290.582658,845.140211,2.665028,285.236134,911.225443,5.863822,382.888895,938.091275,-169.542444,181.471912,45.602807,85.649114,344.533491,39.150579,-96.184847,261.969463,957.913079,55.331951,301.400216,17.083994,-123.780710,184.138558,18.319636,107.870351,413.341204,11.296187,-249.065438,205.780869,17.687524,-134.804892,237.570960,515.034692
22,-32.338248,265.312201,579.204374,25.211287,361.285570,519.841453,18.812045,350.477886,572.223140,-123.496422,246.874279,591.897892,-14.040388,265.287775,679.126375,57.359607,346.408163,279.417971,-147.865453,196.589872,284.277811,-11.390559,264.258113,753.816255,-145.131700,236.024220,809.744602,24.730556,391.963369,820.950481,-33.329864,290.765306,845.113505,2.598858,285.447342,911.212944,5.855019,383.107585,938.059889,-169.558615,181.423186,45.631263,85.659674,344.537243,39.147943,-96.192419,262.142456,957.922213,55.289330,301.420738,17.067879,-123.788462,184.148428,18.307236,107.877029,413.312493,11.314987,-249.052893,205.765305,17.692827,-134.821952,237.622664,515.058306
23,-32.538611,265.447822,579.207007,25.166026,361.374498,519.817916,18.804012,350.564196,572.206660,-123.539820,246.967837,591.901294,-14.134334,265.441941,679.143578,57.314159,346.458848,279.426236,-147.874396,196.646828,284.279548,-11.436875,264.372406,753.809163,-145.145152,236.173625,809.748388,24.754775,392.158325,820.921906,-33.334359,290.965184,845.097668,2.568464,285.671146,911.199386,5.796688,383.352774,938.035072,-169.602208,181.414854,45.635715,85.665213,344.554118,39.156729,-96.241876,262.305365,957.949922,55.269518,301.428816,17.067211,-123.772549,184.155513,18.302562,107.856789,413.273062,11.300819,-249.060481,205.761847,17.706474,-134.839359,237.700103,515.053787
24,-32.683218,265.576918,579.207588,25.112784,361.480401,519.816422,18.692599,350.710643,572.191093,-123.596952,247.069411,591.906594,-14.173420,265.607288,679.148594,57.283826,346.494880,279.445666,-147.882264,196.688672,284.288285,-11.494200,264.514965,753.794477,-145.141073,236.317178,809.763516,24.870342,392.331941,820.901874,-33.289601,291.139837,845.110299,2.532233,285.905359,911.196928,5.697538,383.606949,937.995995,-169.597481,181.491159,45.618347,85.640686,344.569255,39.175594,-96.295837,262.435867,957.987981,55.278876,301.423401,17.074906,-123.765083,184.150987,18.304310,107.789724,413.276377,11.268142,-249.088534,205.767781,17.702868,-134.872556,237.769812,515.046340
25,-32.716595,265.661731,579.220844,25.035027,361.605421,519.802318,18.590674,350.851333,572.163584,-123.642261,247.154858,591.918713,-14.210477,265.764701,679.126665,57.245467,346.532342,279.446298,-147.979657,196.721803,284.296392,-11.549812,264.671061,753.786020,-145.149839,236.450110,809.769669,24.862593,392.494490,820.877306,-33.277367,291.298259,845.134336,2.479800,286.091178,911.205708,5.618495,383.828607,937.942451,-169.530818,181.552498,45.621322,85.614108,344.575587,39.181302,-96.415721,262.631327,958.013090,55.288546,301.433050,17.078884,-123.765178,184.149602,18.305605,107.744421,413.311303,11.247173,-249.088700,205.766422,17.690070,-134.912586,237.809384,515.050596
26,-32.700170,265.727494,579.240101,24.945692,361.732232,519.785555,18.552602,350.935615,572.154883,-123.682608,247.222147,591.934786,-14.254992,265.935287,679.109506,57.205397,346.604230,279.444237,-148.186264,196.760239,284.283730,-11.667487,264.826928,753.803633,-145.173788,236.588599,809.770536,24.745578,392.686258,820.846538,-33.320843,291.468655,845.155817,2.427609,286.285450,911.209586,5.529645,384.014001,937.895710,-169.502490,181.514859,45.636141,85.618018,344.596390,39.177640,-96.602186,262.893394,958.041893,55.276228,301.412811,17.101568,-123.755167,184.154370,18.302809,107.771320,413.327475,11.273939,-249.090032,205.783831,17.678383,-134.961989,237.863291,515.051037
27,-32.703458,265.821609,579.247991,24.838430,361.829830,519.789872,18.514999,351.024817,572.142028,-123.673677,247.290607,591.916602,-14.359723,266.126416,679.120195,57.163964,346.677865,279.449857,-148.309832,196.802153,284.255749,-11.935760,264.996472,753.811622,-145.186173,236.738569,809.794990,24.673221,392.917293,820.813158,-33.361767,291.659597,845.158046,2.431919,286.500780,911.212459,5.389718,384.227434,937.872229,-169.482490,181.485771,45.637392,85.619738,344.618946,39.164463,-96.707227,263.115379,958.082084,55.271103,301.403979,17.114969,-123.755834,184.151749,18.298248,107.818266,413.324415,11.299392,-249.056161,205.765040,17.672635,-135.007161,237.966097,515.043102
28,-32.762437,265.928299,579.261752,24.749671,361.909192,519.794827,18.465507,351.121484,572.114684,-123.674621,247.350588,591.919417,-14.455544,266.293155,679.152518,57.111144,346.730762,279.434283,-148.331299,196.834802,284.244055,-12.204246,265.182825,753.781515,-145.209091,236.924712,809.827547,24.629362,393.148047,820.773497,-33.396848,291.832287,845.147491,2.479198,286.688083,911.225475,5.237880,384.456076,937.841372,-169.458478,181.536403,45.627561,85.599540,344.609849,39.158936,-96.747974,263.298576,958.120431,55.279302,301.430004,17.110547,-123.765844,184.133477,18.308619,107.847893,413.324908,11.292274,-248.994171,205.722993,17.675492,-135.044210,238.054422,515.043307
29,-32.771519,266.021739,579.293298,24.704138,362.006423,519.784758,18.393575,351.211572,572.093089,-123.793833,247.431932,591.978977,-14.461717,266.430903,679.178529,57.048399,346.781904,279.418420,-148.358195,196.866366,284.243665,-12.328735,265.372565,753.746706,-145.255840,237.106501,809.830224,24.575922,393.329015,820.738196,-33.446784,291.972897,845.146582,2.520420,286.892401,911.248897,5.089440,384.662073,937.801374,-169.516470,181.523690,45.617782,85.596817,344.597539,39.169803,-96.790777,263.499460,958.127880,55.276501,301.422515,17.115419,-123.765768,184.129508,18.323132,107.863924,413.334859,11.284848,-249.010104,205.732563,17.685119,-135.096391,238.115975,515.044725
30,-32.791293,266.099524,579.333214,24.658419,362.098581,519.779861,18.316579,351.310265,572.082719,-123.913330,247.520653,592.006904,-14.476539,266.575745,679.188605,56.993861,346.833734,279.422536,-148.389298,196.891694,284.247502,-12.384224,265.541664,753.731607,-145.280157,237.297954,809.833014,24.506448,393.511614,820.714095,-33.513397,292.146575,845.145377,2.562849,287.102832,911.269027,4.957459,384.885064,937.784117,-169.574700,181.416400,45.613186,85.608571,344.599659,39.176028,-96.810468,263.719919,958.117718,55.277751,301.390136,17.115354,-123.782079,184.152180,18.320383,107.869050,413.345121,11.284521,-249.045072,205.752797,17.696978,-135.138454,238.190571,515.045159
