angelina-std-03
Date:,2012/07/12
Time:,14:34:43
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,112.107346,-135.925079,570.606445,207.549728,-99.252190,538.300537,174.239365,-118.666580,604.379883,30.568258,-107.266846,603.591797,-3.759496,-65.488426,530.352783,103.253937,-140.814102,666.062866,106.251251,-160.837509,729.890930,193.549362,-140.835312,270.873657,1.129744,-133.124207,268.436920,231.107224,-102.013748,812.409180,112.450294,-151.822769,839.695068,-10.835216,-86.525719,820.812195,123.645859,-169.272247,895.818726,202.758392,-113.793671,926.198303,44.053055,-114.402031,942.314026,200.463074,-115.011414,44.543777,2.722974,-96.772377,38.071663,162.580902,-138.546387,13.952796,35.215271,-129.351303,14.989750,239.212341,-44.346966,17.582090,-17.279749,-18.592888,11.753400
22,112.125656,-136.019409,570.604980,207.518326,-99.320457,538.298096,174.256226,-118.752937,604.400818,30.601143,-107.418114,603.594971,-3.763125,-65.628662,530.346497,103.222855,-140.881348,666.091431,106.126656,-160.900406,729.923157,193.622742,-140.946991,270.908112,1.100580,-133.173340,268.426270,231.085022,-102.193222,812.402161,112.386864,-151.835007,839.735840,-10.850017,-86.476227,820.896179,123.608131,-169.273682,895.870178,202.699570,-113.795753,926.231873,43.986809,-114.423302,942.337952,200.433823,-114.968620,44.551292,2.719103,-96.794411,38.073662,162.579407,-138.544815,13.940189,35.218246,-129.352692,14.990164,239.200287,-44.335537,17.582853,-17.249277,-18.581406,11.742056
23,112.116623,-136.117935,570.588074,207.482864,-99.397934,538.294189,174.225677,-118.820053,604.398438,30.427643,-107.363739,603.635925,-3.801098,-65.753159,530.371094,103.183647,-140.974579,666.132507,106.010941,-160.942520,729.945068,193.642517,-141.023605,270.922028,1.040345,-133.209946,268.425110,231.037994,-102.314606,812.414673,112.332924,-151.846756,839.768677,-10.877253,-86.401741,820.978149,123.571632,-169.276505,895.923523,202.670227,-113.794716,926.265320,43.921974,-114.428200,942.372803,200.422546,-114.945885,44.561226,2.746384,-96.809319,38.068787,162.584244,-138.545792,13.947396,35.225452,-129.354095,14.990430,239.203781,-44.363510,17.600294,-17.213531,-18.571348,11.759783
24,112.078667,-136.235413,570.586487,207.447723,-99.502312,538.286255,174.181366,-118.899353,604.365356,30.305359,-107.378517,603.664612,-3.837740,-65.877914,530.392883,103.167603,-141.071762,666.174500,105.955521,-161.020065,729.984863,193.632919,-141.095840,270.910614,1.004393,-133.252762,268.412659,230.977646,-102.388229,812.446411,112.264076,-151.871490,839.801636,-10.906450,-86.305763,821.026062,123.529190,-169.274765,895.972961,202.643372,-113.782547,926.304443,43.888794,-114.428230,942.425476,200.456497,-114.992279,44.555416,2.764372,-96.808464,38.060684,162.595016,-138.549332,13.950048,35.225452,-129.354095,14.990430,239.208420,-44.354565,17.590307,-17.244497,-18.582712,11.793694
25,112.051010,-136.348618,570.586853,207.416458,-99.600288,538.258850,174.138718,-118.974266,604.350220,30.270212,-107.472641,603.678894,-3.855242,-65.944923,530.378479,103.193626,-141.155930,666.204224,105.912491,-161.106659,730.032043,193.608490,-141.177078,270.886475,0.988458,-133.297195,268.402557,230.927933,-102.433449,812.486023,112.192108,-151.884232,839.846191,-10.952127,-86.218567,821.066895,123.449348,-169.249969,896.007141,202.571991,-113.775452,926.327332,43.862957,-114.470306,942.484741,200.501785,-115.050415,44.547302,2.715500,-96.762398,38.064701,162.600952,-138.551910,13.945494,35.220592,-129.359741,14.992203,239.196793,-44.307564,17.565413,-17.278097,-18.593363,11.813070
26,112.026413,-136.423370,570.576416,207.391510,-99.704094,538.226807,174.090164,-119.050484,604.358398,30.233421,-107.540703,603.671875,-3.880399,-65.983421,530.352722,103.191757,-141.230667,666.223267,105.815910,-161.171097,730.080139,193.563309,-141.236481,270.850281,0.948107,-133.362335,268.404602,230.875122,-102.486595,812.529053,112.128502,-151.874878,839.903564,-11.016175,-86.136826,821.124329,123.362953,-169.220169,896.050537,202.499710,-113.794106,926.348022,43.785107,-114.460083,942.526123,200.497314,-115.059860,44.560966,2.670717,-96.726173,38.071114,162.591629,-138.550491,13.947092,35.208527,-129.363968,14.993709,239.188095,-44.287804,17.565954,-17.274969,-18.594194,11.805037
27,111.990601,-136.499130,570.566101,207.373703,-99.847908,538.219055,174.046585,-119.145836,604.360840,30.303125,-107.701477,603.640381,-3.918674,-66.016708,530.336670,103.140938,-141.312698,666.242798,105.693710,-161.237625,730.135742,193.519684,-141.303116,270.822632,0.885544,-133.363754,268.397430,230.780334,-102.491669,812.575378,112.049797,-151.861328,839.956970,-11.073256,-86.045044,821.179810,123.301880,-169.223267,896.120056,202.445633,-113.801102,926.377991,43.633255,-114.332809,942.560913,200.434967,-115.009796,44.577381,2.668523,-96.719925,38.064682,162.584549,-138.549301,13.944290,35.194172,-129.359848,14.992768,239.195648,-44.306099,17.581406,-17.193079,-18.593538,11.788243
28,111.938370,-136.602356,570.556946,207.343048,-100.018799,538.216919,173.993958,-119.264458,604.369202,30.366354,-107.861595,603.613464,-3.944359,-66.005211,530.333130,103.101807,-141.410706,666.264526,105.583725,-161.297318,730.188538,193.470413,-141.376160,270.796844,0.825793,-133.317596,268.375946,230.620178,-102.403488,812.602905,111.967842,-151.849670,839.999756,-11.140447,-85.951622,821.205750,123.212265,-169.222580,896.162415,202.370514,-113.778465,926.401306,43.490223,-114.217667,942.614746,200.398972,-114.978653,44.566788,2.682081,-96.720703,38.053257,162.594772,-138.558502,13.940619,35.182159,-129.362762,14.993866,239.208420,-44.354565,17.590307,-17.118845,-18.591738,11.796814
29,111.834908,-136.688980,570.545837,207.285614,-100.182724,538.204590,173.908264,-119.393608,604.384094,30.308352,-107.909180,603.585876,-3.981719,-65.989021,530.334717,103.059235,-141.499252,666.300781,105.473518,-161.349014,730.233093,193.421951,-141.446259,270.764893,0.759910,-133.339798,268.357788,230.470505,-102.314629,812.631104,111.884361,-151.824692,840.038513,-11.225026,-85.865921,821.207214,123.075630,-169.193741,896.189514,202.277359,-113.770187,926.417297,43.416054,-114.152039,942.660400,200.408600,-114.989365,44.551594,2.699497,-96.709084,38.029285,162.599152,-138.574844,13.948076,35.170094,-129.367004,14.995373,239.209564,-44.394413,17.585749,-17.108091,-18.563845,11.812575
30,111.714958,-136.775299,570.540588,207.237885,-100.354218,538.199219,173.821350,-119.520416,604.396545,30.332674,-108.043159,603.548218,-4.032261,-65.975327,530.332947,102.997604,-141.572372,666.346802,105.366356,-161.386826,730.283569,193.379395,-141.526535,270.752197,0.666077,-133.362671,268.364014,230.350540,-102.262962,812.696411,111.768547,-151.769760,840.086304,-11.312131,-85.757133,821.209839,122.914970,-169.144455,896.241394,202.192749,-113.770401,926.429749,43.353672,-114.053192,942.668640,200.417908,-115.001045,44.543396,2.707880,-96.688362,37.999657,162.590729,-138.581238,13.947598,35.150875,-129.368515,14.996204,239.209564,-44.394413,17.585749,-17.008286,-18.536320,11.808738
