bleuenn-std-03
Date:,2012/11/24
Time:,11:05:45
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LASI,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD-1,,,Patient1:C7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
21,-4.186676,49.635520,619.282818,-123.316107,105.147234,583.135087,45.292324,64.396823,640.804898,-128.058252,67.211554,313.814421,100.467888,69.774861,306.239902,-0.310303,51.062285,762.301668,0.144046,45.523769,817.803037,-130.849164,118.399896,913.545953,-3.194944,79.815483,978.386181,120.203175,62.720083,45.612833,-144.060903,54.201814,40.417730,70.207829,41.659263,21.430405,-98.032916,47.880807,14.006348,75.696720,128.071336,1016.953658,-85.901071,134.823589,1018.802921,177.322126,113.649567,17.443495,-202.266425,120.937100,15.320369,-55.460945,64.833502,652.118299,123.391458,138.294140,912.452275,-4.776306,80.810104,938.036274,,,,,,
22,-4.187609,49.636214,619.278609,-123.339429,105.187812,583.128857,44.518914,66.357686,640.984195,-128.070342,67.271534,313.824303,100.460708,69.849361,306.243915,-0.305186,51.001356,762.277455,0.156338,45.473046,817.758187,-130.849094,118.192866,913.532074,-3.212208,79.652678,978.372649,120.141782,62.792482,45.577966,-144.062544,54.191371,40.422143,70.216871,41.657184,21.412867,-98.021522,47.895067,14.012747,75.704290,127.848399,1016.961640,-85.906103,134.710244,1018.815806,176.565537,114.938956,16.974585,-202.268845,120.939035,15.326042,-55.471287,64.864379,652.091461,123.351670,138.125731,912.470883,-4.812725,80.673403,938.029137,,,,,,
23,-4.201809,49.661886,619.273318,-123.326293,105.185724,583.128544,44.264514,66.967306,640.867159,-128.072235,67.292238,313.821786,100.451331,69.901527,306.238187,-0.305924,50.955842,762.250121,0.145812,45.421411,817.732807,-130.873210,118.038223,913.490414,-3.208743,79.469628,978.363124,120.115856,62.826059,45.612865,-144.044213,54.206805,40.417994,70.223225,41.643996,21.392900,-98.019711,47.878094,14.010589,75.699611,127.609595,1016.969463,-85.912956,134.597314,1018.846699,176.520910,115.000031,16.995825,-202.265617,120.941867,15.301853,-55.470731,64.861476,652.075316,123.288876,137.997299,912.528401,-4.829856,80.518734,938.010742,,,,,,
24,-4.230807,49.711534,619.274430,-123.299007,105.200902,583.125582,44.382355,66.652005,640.665405,-128.068881,67.276592,313.822950,100.457890,69.927857,306.235487,-0.295701,50.937816,762.206182,0.156644,45.366219,817.696400,-130.892036,117.905405,913.442432,-3.232517,79.301086,978.346240,120.185716,62.752809,45.673066,-144.032252,54.246885,40.407316,70.226542,41.640487,21.379298,-98.013524,47.851369,14.019629,75.666677,127.398448,1016.975843,-85.933581,134.451081,1018.888097,175.284943,116.992694,16.131213,-202.251722,120.942957,15.292273,-55.483482,64.879938,652.064267,123.229001,137.888460,912.579421,-4.836611,80.380539,937.981131,,,,,,
25,-4.226409,49.733839,619.276245,-123.298503,105.266181,583.125311,44.624421,66.024505,640.553897,-128.057116,67.252141,313.824177,100.481678,69.929251,306.244912,-0.258999,50.957602,762.173745,0.198151,45.325177,817.636482,-130.902670,117.761311,913.388294,-3.277108,79.188665,978.295747,120.210181,62.735178,45.665875,-144.030580,54.268916,40.403094,70.227393,41.636826,21.371723,-98.011743,47.849692,14.033087,75.661998,127.159695,1016.983665,-85.953099,134.323452,1018.899410,176.280045,115.432364,16.807057,-202.244736,120.940039,15.307328,-55.483482,64.879938,652.064267,123.190790,137.819030,912.607666,-4.867971,80.303521,937.952003,,,,,,
26,-4.176575,49.740919,619.278258,-123.291542,105.309503,583.129230,44.895275,65.363241,640.577268,-128.045876,67.242102,313.822971,100.510969,69.922870,306.260036,-0.231656,50.986541,762.162267,0.230801,45.316327,817.604440,-130.930108,117.626214,913.306883,-3.309059,79.105057,978.207360,120.218825,62.706918,45.666127,-144.022377,54.254258,40.403696,70.222539,41.640600,21.368037,-98.005779,47.875992,14.017599,75.656299,126.955979,1016.991047,-85.968790,134.241015,1018.873139,177.207567,113.964080,17.500570,-202.250446,120.935642,15.315971,-55.467354,64.857980,652.067622,123.169094,137.756417,912.620955,-4.896119,80.235847,937.933479,,,,,,
27,-4.144421,49.772288,619.289108,-123.265280,105.289194,583.123857,45.049026,65.069214,640.625511,-128.027203,67.230159,313.830339,100.519508,69.949626,306.255210,-0.213139,50.980722,762.156488,0.255070,45.295277,817.593253,-130.957889,117.528550,913.228943,-3.342913,79.041885,978.095558,120.261642,62.653726,45.678792,-144.021444,54.231388,40.408252,70.220003,41.643034,21.358835,-98.001215,47.892489,13.995594,75.621043,126.760513,1017.008046,-85.998738,134.191509,1018.834689,175.164040,117.551369,16.588085,-202.254128,120.934467,15.316417,-55.468316,64.886032,652.057507,123.167585,137.660780,912.631166,-4.910657,80.164083,937.927702,,,,,,
28,-4.144357,49.795212,619.306630,-123.243020,105.244971,583.121270,44.785950,65.858394,640.646190,-127.995828,67.204578,313.833797,100.531344,69.967386,306.248048,-0.190768,50.953622,762.144076,0.288320,45.254900,817.574080,-130.960565,117.478777,913.181794,-3.380485,78.969705,977.982884,120.237085,62.688772,45.645775,-144.036535,54.236924,40.408575,70.223412,41.623485,21.344235,-97.997842,47.891744,13.988443,75.581109,126.517025,1017.046864,-86.036074,134.154224,1018.800582,176.381902,115.232016,16.820361,-202.258240,120.933793,15.319431,-55.442400,64.926025,652.040681,123.181171,137.596331,912.647809,-4.932722,80.141579,937.932318,,,,,,
29,-4.121424,49.794559,619.309952,-123.233136,105.228343,583.123691,44.370873,67.044040,640.796083,-127.967070,67.197339,313.827408,100.591699,69.946105,306.257762,-0.159495,50.960389,762.113435,0.328695,45.256991,817.539943,-130.945742,117.411765,913.135165,-3.430799,78.888973,977.874882,120.205769,62.718940,45.631861,-144.037093,54.270114,40.398363,70.222255,41.596153,21.341007,-97.983664,47.872345,13.987134,75.510501,126.340992,1017.094132,-86.076429,134.107943,1018.746660,176.298793,115.307935,16.770683,-202.261917,120.932617,15.319875,-55.384922,64.929224,652.036688,123.216405,137.520866,912.667196,-4.957680,80.111628,937.938121,,,,,,
30,-4.058789,49.788678,619.299115,-123.213963,105.239136,583.123171,44.392180,67.093151,640.836922,-127.946241,67.203440,313.818528,100.670858,69.917517,306.264420,-0.111518,50.986770,762.075029,0.380844,45.271071,817.489146,-130.937536,117.309603,913.080723,-3.503826,78.856957,977.777016,120.208901,62.726464,45.607132,-144.022012,54.275811,40.395412,70.225686,41.575237,21.346751,-97.987760,47.831033,14.000347,75.454886,126.124788,1017.153088,-86.110997,134.091366,1018.677057,176.504514,114.983859,16.946710,-202.261482,120.932115,15.317305,-55.341193,64.900030,652.048482,123.256621,137.423699,912.666350,-4.966713,80.041716,937.929811,,,,,,
31,-4.000727,49.794202,619.283858,-123.168104,105.259369,583.121583,44.758561,66.242676,640.667479,-127.927806,67.193364,313.802980,100.704321,69.902973,306.256925,-0.067969,50.966957,762.050507,0.429304,45.239479,817.433171,-130.931423,117.258716,913.017328,-3.599413,78.847719,977.702915,120.211551,62.753612,45.570686,-144.011578,54.249994,40.402005,70.241570,41.552433,21.353550,-97.988522,47.802483,14.012932,75.413334,125.831605,1017.213761,-86.143856,134.083291,1018.645963,176.707489,114.671880,17.115669,-202.269276,120.930266,15.320768,-55.300183,64.877281,652.050806,123.300791,137.337114,912.647043,-4.957266,79.989975,937.907207,,,,,,
32,-3.965013,49.838703,619.288270,-123.109122,105.277471,583.119688,44.969101,65.824479,640.589396,-127.884621,67.156151,313.792440,100.721342,69.877803,306.246421,-0.028063,50.929182,762.028281,0.458567,45.213443,817.387982,-130.891556,117.205451,912.953186,-3.707841,78.807122,977.648971,120.215395,62.764752,45.558900,-144.008964,54.237923,40.404967,70.256481,41.549814,21.356554,-97.968457,47.817927,13.999165,75.335303,125.596986,1017.260867,-86.192629,134.059207,1018.644714,176.543701,114.930002,16.960796,-202.266029,120.931941,15.322893,-55.254363,64.904511,652.026465,123.371518,137.206890,912.628808,-4.947228,79.953758,937.896156,,,,,,
33,-3.938031,49.891637,619.315857,-123.056036,105.281211,583.118500,44.978801,65.929145,640.600273,-127.816217,67.137117,313.783951,100.769458,69.842907,306.242652,0.000968,50.931961,761.998469,0.484873,45.217652,817.339115,-130.830775,117.089304,912.882368,-3.813188,78.747001,977.613748,120.218253,62.759821,45.553827,-144.009878,54.236662,40.401545,70.268073,41.559019,21.353534,-97.968229,47.827030,13.982608,75.258186,125.416956,1017.334843,-86.260055,134.079376,1018.617199,176.415448,115.164038,16.833197,-202.254164,120.939075,15.329350,-55.214216,64.942997,652.002527,123.450390,137.040814,912.591213,-4.940575,79.888717,937.883343,,,,,,
34,-3.898562,49.909038,619.331063,-122.994463,105.268988,583.110513,44.829502,66.422531,640.630194,-127.771019,67.152181,313.779485,100.817764,69.844461,306.239486,-0.007491,50.954601,761.969124,0.499565,45.203750,817.288648,-130.786244,116.995017,912.775286,-3.908994,78.690799,977.616560,120.211411,62.771723,45.556082,-144.010791,54.235401,40.398123,70.279576,41.564999,21.353667,-97.975154,47.816498,13.992332,75.192917,125.255187,1017.417159,-86.330706,134.117998,1018.558831,176.395136,115.220143,16.799070,-202.259446,120.943445,15.343266,-55.170986,64.951685,651.997361,123.539714,136.874354,912.532495,-4.943516,79.814448,937.858532,,,,,,
35,-3.831486,49.902847,619.325304,-122.935309,105.283985,583.092597,44.688873,66.864167,640.657591,-127.740965,67.155651,313.796983,100.834761,69.859135,306.243108,-0.059003,50.979995,761.948464,0.465989,45.177769,817.244176,-130.733313,116.919406,912.660820,-3.973696,78.624476,977.663085,120.217231,62.768576,45.565447,-144.015285,54.250026,40.399763,70.294721,41.583487,21.358138,-97.968678,47.816295,14.015036,75.141923,125.073263,1017.482014,-86.372520,134.163124,1018.518172,176.363446,115.253903,16.749765,-202.258627,120.947057,15.351061,-55.132792,64.945657,652.005794,123.647092,136.661195,912.494228,-4.948426,79.746124,937.849529,,,,,,
36,-3.788401,49.907230,619.309916,-122.895423,105.342598,583.075485,44.856716,66.452763,640.630731,-127.700021,67.155042,313.813267,100.847800,69.840350,306.255226,-0.111446,50.998936,761.930571,0.396624,45.157635,817.189877,-130.680426,116.854290,912.574148,-4.012048,78.553173,977.726526,120.245088,62.725586,45.576782,-144.021037,54.265279,40.408563,70.305942,41.593620,21.357270,-97.964939,47.815077,14.008497,75.102102,124.949713,1017.567706,-86.393540,134.228332,1018.495476,176.336374,115.269368,16.740392,-202.249478,120.936794,15.358884,-55.131556,64.960102,652.003990,123.747914,136.401038,912.466345,-4.941729,79.637428,937.843763,,,,,,
37,-3.789048,49.929126,619.299467,-122.867550,105.428355,583.059575,45.016177,66.035406,640.607438,-127.660576,67.153222,313.815779,100.876153,69.796812,306.267720,-0.141093,50.984047,761.901460,0.358051,45.127041,817.136943,-130.682521,116.837823,912.474469,-4.040087,78.518128,977.801696,120.263383,62.689301,45.585185,-144.022104,54.265452,40.414208,70.310432,41.602428,21.345545,-97.983575,47.842596,13.974763,75.089773,124.874011,1017.670672,-86.408433,134.294613,1018.456331,176.285269,115.330121,16.723151,-202.214464,120.910603,15.367651,-55.150020,65.022513,651.983043,123.819564,136.172614,912.437938,-4.965645,79.534958,937.830039,,,,,,
38,-3.794306,49.941809,619.297885,-122.862018,105.514196,583.040743,45.029056,65.973257,640.605394,-127.648487,67.160790,313.817422,100.891959,69.773595,306.273486,-0.168609,50.962991,761.875740,0.367250,45.071305,817.099873,-130.745311,116.862212,912.315380,-4.058619,78.488167,977.907186,120.285609,62.680541,45.585587,-144.025134,54.276407,40.415801,70.316687,41.613691,21.341862,-97.993104,47.848571,13.976285,75.103009,124.774942,1017.765146,-86.424074,134.358706,1018.411385,176.196467,115.510870,16.683289,-202.167316,120.928567,15.361852,-55.161289,65.112473,651.962453,123.871582,135.899050,912.454432,-5.041639,79.483657,937.831903,,,,,,
39,-3.809566,49.945990,619.312379,-122.863962,105.616751,583.023413,45.032250,65.888370,640.603849,-127.682051,67.210587,313.815713,100.888961,69.775626,306.271094,-0.159834,50.940741,761.851766,0.381531,45.013230,817.074688,-130.855076,116.899388,912.120472,-4.064673,78.423362,978.019991,120.290637,62.702322,45.555696,-144.031042,54.288701,40.433914,70.308496,41.592089,21.358821,-97.998825,47.828373,13.988630,75.105194,124.733515,1017.839164,-86.418573,134.448033,1018.371075,176.330810,115.357478,16.822485,-202.160487,120.956478,15.367699,-55.182897,65.179829,651.949032,123.996910,135.464648,912.475457,-5.111441,79.443386,937.848617,,,,,,
