bleuenn-ank-03
Date:,2012/11/24
Time:,11:54:39
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:T7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,-116.709977,266.671537,381.332840,132.994395,282.060527,376.169486,120.039190,291.665847,641.826981,-100.705575,282.107490,661.265418,22.549324,235.074869,710.588562,67.628475,270.559463,736.239787,-64.264793,302.474367,740.655085,8.770691,389.966753,809.771088,-136.466922,308.031192,112.224726,154.683784,331.765173,119.107458,115.247995,295.059439,94.075329,-97.253390,289.522244,85.472340,-171.260499,393.998894,92.170863,-135.253875,517.996002,815.043640,120.238961,555.373880,818.246790,-5.603000,510.118061,868.884786,-239.696589,218.377421,75.823420,245.858530,216.007759,77.164141,-239.760755,544.273163,83.062068,245.639557,542.681505,83.892643,-95.313887,553.513106,923.466381,65.150868,558.939562,922.942333,3.793880,428.640424,828.118157,186.716853,405.398673,90.055513,,,,,,
24,-116.819036,266.632695,381.313210,134.385714,280.018175,376.699941,120.025871,291.168742,641.834591,-100.800769,281.703566,661.209133,22.451949,234.788624,710.689247,67.522383,270.329758,736.249314,-64.325567,302.344197,740.514493,8.781171,390.224348,809.267553,-136.562508,308.468972,112.339727,154.667914,332.334629,119.217113,115.224329,295.526804,94.293433,-97.278347,289.800270,85.760263,-171.337956,394.256211,92.219732,-135.298392,518.258839,813.647659,120.303639,555.535453,816.574353,-5.623391,510.785994,867.622045,-239.672631,218.658920,76.312910,245.889010,216.300087,77.687040,-239.717698,544.592015,82.521497,245.582461,543.056673,83.292135,-95.425345,554.467023,921.776657,64.143747,561.360373,921.113252,3.891874,428.959223,827.259299,186.697059,405.751462,89.969124,,,,,,
25,-116.999847,266.587560,381.329314,134.904819,279.485191,376.993995,119.987240,290.755738,641.829052,-100.880734,281.398061,661.236989,22.365025,234.527169,710.757267,67.435659,270.050817,736.253900,-64.393981,302.154300,740.488751,8.882146,390.499048,808.805772,-136.680872,308.995913,112.493717,154.688148,332.974156,119.368367,115.241842,296.022959,94.586128,-97.367597,290.154921,86.146373,-171.199601,394.854482,92.070844,-135.308460,518.370991,812.300137,120.409284,555.711257,814.881975,-5.644167,511.361404,866.353241,-239.643559,219.024362,76.981505,245.906198,216.682343,78.301953,-239.710265,544.954872,81.865672,245.531970,543.532798,82.583796,-95.529807,555.289579,920.193902,65.259114,559.954131,920.115670,4.032606,429.250733,826.513677,186.709546,406.167723,89.904496,,,,,,
26,-117.222320,266.427336,381.381430,134.982934,279.672647,377.035208,119.865200,290.525489,641.812566,-100.928462,281.244273,661.328484,22.263644,234.298176,710.763872,67.360639,269.809077,736.248504,-64.432669,301.959007,740.548154,8.995937,390.719882,808.417443,-136.879394,309.520275,112.645429,154.721647,333.575070,119.522032,115.254435,296.495033,94.887325,-97.458080,290.458918,86.513923,-171.218978,395.270875,92.007073,-135.256885,518.580718,810.994107,120.462984,556.125094,813.200117,-5.632729,511.853394,865.192951,-239.653114,219.384180,77.675890,245.892343,217.050302,78.896710,-239.743180,545.316751,81.209396,245.475480,543.983509,81.919300,-95.631785,555.965349,918.656080,64.315443,562.377827,918.468263,4.117201,429.563467,825.870792,186.640880,406.833925,89.748365,,,,,,
27,-117.469375,266.178783,381.411076,135.034509,279.791650,376.963369,119.711311,290.413095,641.775408,-100.971464,281.165960,661.429987,22.133550,234.094716,710.723973,67.267818,269.627440,736.221742,-64.451507,301.827216,740.608738,9.040245,390.942479,808.096583,-137.101718,309.926560,112.732104,154.774641,333.991082,119.652829,115.267020,296.856618,95.102441,-97.530859,290.646397,86.763223,-171.309281,395.550079,91.969689,-135.212263,518.861585,809.781314,120.467388,556.726834,811.580907,-5.539144,512.373673,864.149610,-239.668969,219.648315,78.190752,245.879697,217.303553,79.361602,-239.753008,545.583535,80.703252,245.419503,544.330575,81.419030,-95.701268,556.539617,917.200826,64.138648,563.378971,917.083980,4.126591,429.884532,825.319114,186.735900,406.937261,89.836965,,,,,,
28,-117.742017,265.894770,381.371356,135.031639,279.801394,376.937066,119.637161,290.231111,641.728672,-101.019238,281.169344,661.459934,21.981057,233.987462,710.669208,67.158170,269.478865,736.160965,-64.493087,301.839626,740.605791,9.019783,391.252587,807.791517,-137.220719,310.034703,112.729585,154.794538,334.180374,119.713473,115.279346,296.972940,95.145531,-97.616602,290.662293,86.819395,-171.357555,395.651289,91.952166,-135.193895,519.094955,808.680716,120.364006,557.589894,810.055859,-5.387339,512.909338,863.152560,-239.666757,219.728562,78.335442,245.874496,217.365197,79.485972,-239.747984,545.659359,80.553519,245.405717,544.455559,81.272660,-95.748216,557.060941,915.970358,64.501755,563.382668,916.074028,4.089917,430.221440,824.869585,186.839022,407.024835,89.863097,,,,,,
29,-118.021031,265.586596,381.293198,134.987993,279.703411,376.949362,119.577284,290.063281,641.677155,-101.089995,281.367662,661.366063,21.798789,233.993654,710.595574,67.029777,269.364377,736.099739,-64.541982,302.002740,740.540059,9.025701,391.631186,807.511288,-137.333868,309.825772,112.596178,154.759562,334.067821,119.664340,115.247633,296.799455,94.987225,-97.722447,290.442547,86.633978,-171.292727,395.518774,91.974644,-135.169021,519.356119,807.694931,120.291608,558.434902,808.817312,-5.288471,513.431510,862.232547,-239.646675,219.564065,77.987717,245.877907,217.191703,79.159305,-239.748110,545.512243,80.879388,245.420726,544.243142,81.597715,-95.750178,557.575933,914.942911,64.502791,564.074842,915.140949,4.116048,430.613301,824.470036,186.731849,406.945143,89.868200,,,,,,
30,-118.257122,265.284721,381.187655,134.924323,279.511736,376.881082,119.466195,289.936323,641.610787,-101.190243,281.714803,661.180228,21.586353,234.057257,710.511387,66.871458,269.344241,736.036333,-64.605225,302.283289,740.432222,9.101264,392.017117,807.279523,-137.432120,309.318637,112.294923,154.715953,333.626659,119.509087,115.171164,296.322509,94.627927,-97.799708,289.971970,86.191245,-171.245731,395.024266,92.087931,-135.100856,519.705097,806.842190,120.357766,558.964882,807.900015,-5.220145,513.951627,861.461336,-239.633782,219.150454,77.193460,245.881235,216.773938,78.440634,-239.748798,545.072885,81.663121,245.453214,543.721192,82.381425,-95.700441,558.084582,914.062231,64.042391,565.582499,914.151679,4.183548,431.068668,824.101221,186.698686,406.544355,90.003408,,,,,,
31,-118.435463,264.989914,381.057843,134.399328,279.957703,376.580305,119.347717,289.762736,641.545570,-101.307684,282.113946,660.976449,21.325078,234.222063,710.441781,66.707496,269.409888,735.952886,-64.684379,302.656743,740.284935,9.170611,392.417140,807.087827,-137.476350,308.464018,111.893203,154.687814,332.873288,119.269029,115.059520,295.553402,94.116786,-97.851192,289.234851,85.546286,-171.328602,394.201939,92.267077,-135.007358,520.097305,806.119840,120.401924,559.452443,807.216195,-5.116772,514.461728,860.906441,-239.660180,218.509547,76.071979,245.841438,216.159592,77.331156,-239.774898,544.395113,82.828175,245.402426,543.083627,83.577106,-95.665574,558.563392,913.321044,63.789867,566.675120,913.359807,4.224000,431.525778,823.821866,186.707966,405.576908,90.331439,,,,,,
32,-118.577805,264.681371,380.929079,133.456013,280.975288,376.118911,119.293013,289.561486,641.473737,-101.436605,282.598152,660.793959,21.042142,234.474897,710.393645,66.561322,269.527346,735.867839,-64.775983,303.113281,740.105740,9.217471,392.812407,806.938020,-137.543569,307.403165,111.437409,154.621145,331.779989,119.001305,114.864649,294.611578,93.523696,-97.951642,288.319226,84.833195,-171.400322,393.264978,92.422058,-134.942578,520.451153,805.553960,120.449305,559.915376,806.774657,-5.020386,514.949429,860.527501,-239.705710,217.749949,74.705503,245.819106,215.412207,75.942542,-239.832042,543.600267,84.319368,245.294721,542.410130,85.084418,-95.638925,558.995257,912.738343,63.795370,567.377213,912.811229,4.280247,431.938454,823.617468,186.602061,404.729364,90.601288,,,,,,
